,Address,Sqft,Beds,Bath,Type,Built,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
51,"1145 Republican St, Seattle, WA 98109",1098.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,3589.5
52,"1145 Republican St, Seattle, WA 98109",1108.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,4005.0
53,"1145 Republican St, Seattle, WA 98109",1116.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,3956.0
54,"1145 Republican St, Seattle, WA 98109",1165.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,4220.0
55,"1145 Republican St, Seattle, WA 98109",1177.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,3976.0
56,"1145 Republican St, Seattle, WA 98109",1224.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,3260.0
57,"1145 Republican St, Seattle, WA 98109",1712.0,3,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,8940.0
58,"1145 Republican St, Seattle, WA 98109",1748.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,9065.0
59,"1145 Republican St, Seattle, WA 98109",1831.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,9205.0
60,"1146 N 91st Street 1146 N 91st St, Seattle, WA 98103",700.0,1,1.0,Apartment,2014.0,3,6.0,2650.0,684990.0,1,0,1375.0
61,"1150 N 192nd St, Shoreline, WA 98133",578.0,0,1.0,Apartment,2009.0,4,6.5,2395.0,642500.0,37,0,1355.0
62,"1150 N 192nd St, Shoreline, WA 98133",712.0,1,1.0,Apartment,2009.0,4,6.5,2395.0,642500.0,37,0,1535.0
63,"1150 N 192nd St, Shoreline, WA 98133",896.0,2,1.0,Apartment,2009.0,4,6.5,2395.0,642500.0,37,0,1620.0
64,"1150 N 192nd St, Shoreline, WA 98133",974.0,2,2.0,Apartment,2009.0,4,6.5,2395.0,642500.0,37,0,2205.0
65,"1150 N 192nd St, Shoreline, WA 98133",1119.0,3,2.0,Apartment,2009.0,4,6.5,2395.0,642500.0,37,0,1995.0
66,"1150 N 192nd St, Shoreline, WA 98133",1174.0,1,1.0,Apartment,2009.0,4,6.5,2395.0,642500.0,37,0,1975.0
67,"1150 N 192nd St, Shoreline, WA 98133",1192.0,2,1.0,Apartment,2009.0,4,6.5,2395.0,642500.0,37,0,1915.0
68,"1158 North 91st Street 1158 N 91st St, Seattle, WA 98103",772.0,2,2.0,Apartment,2014.0,3,6.0,2650.0,684990.0,1,0,1945.0
69,"11915 Roseberg Ave S, Seattle, WA 98168",1034.0,2,2.0,Apartment,2014.0,4,3.0,2650.0,684990.0,0,2,1720.0
70,"120 10th Ave E, Seattle, WA 98102",300.0,0,1.0,Apartment,2018.0,3,3.33,2650.0,684990.0,25,0,1575.0
71,"1205 NE 125th St, Seattle, WA 98125",2130.0,5,3.0,Single Family Home,2014.0,4,6.0,2650.0,684990.0,1,0,3500.0
72,"1210 15th Ave E, Seattle, WA 98112",1050.0,2,2.0,Apartment,1984.0,4,5.0,2650.0,684990.0,20,0,2581.0
73,"123 Broadway, Seattle, WA 98122",585.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2075.0
74,"123 Broadway, Seattle, WA 98122",586.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2075.0
75,"123 Broadway, Seattle, WA 98122",590.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2075.0
76,"123 Broadway, Seattle, WA 98122",627.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2125.0
77,"123 Broadway, Seattle, WA 98122",661.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2085.0
78,"123 Broadway, Seattle, WA 98122",670.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2167.5
79,"123 Broadway, Seattle, WA 98122",684.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2210.0
80,"123 Broadway, Seattle, WA 98122",693.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2200.0
81,"123 Broadway, Seattle, WA 98122",696.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2210.0
82,"123 Broadway, Seattle, WA 98122",716.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2335.0
83,"123 Broadway, Seattle, WA 98122",724.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2150.0
84,"123 Broadway, Seattle, WA 98122",728.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2360.0
85,"123 Broadway, Seattle, WA 98122",730.0,1,1.0,Apartment,2018.0,5,4.4,2650.0,684990.0,7,0,2375.0
